X1	X2	X3
Trump	2016-06-06 13:23:54	Crooked Hillary is being badly criticized (for a Wall Street paid for ad) by PolitiFact for a false ad on me on women. She is a total fraud!
Trump	2016-06-09 00:56:58	"""@Dale_Dangler: @realDonaldTrump You will be the greatest president the world has ever seen""  Thanks."
Trump	2016-07-12 13:36:47	Bernie Sanders, who has lost most of his leverage, has totally sold out to Crooked Hillary Clinton. He will endorse her today - fans angry!
Trump	2016-03-03 11:59:47	Why did Mitt Romney BEG me for my endorsement four years ago?
Staff	2016-08-05 02:16:20	See you tomorrow w/ Gov. @Mike_Pence, Iowa &amp; Wisconsin!  3pm- https://t.co/3Hcnzj0Slx 7pm- https://t.co/sEwLWkn1Sz https://t.co/UODSMp0oTo
Trump	2016-04-13 03:53:39	Great to be on @andersoncooper tonight with my wonderful family. Will be rebroadcast at 12:00 A.M.  (EASTERN).
Trump	2016-06-26 23:24:35	"""@JimVitari:  @ABC @washingtonpost we know they're fake just like poles during primary. I'm sure u will crush #CrookedHillary in general"""
Staff	2016-06-30 19:28:27	One of the reasons Hillary hid her emails was so the public wouldn't see how she got rich- selling out America.  https://t.co/mO9QrmYXRD
Staff	2016-04-11 20:58:42	Why does the liberal media think Bill O'Reilly  (@oreillyfactor) is a complete and total vulgarian? I don't think so!
Staff	2016-03-02 23:34:13	Just another desperate move by the man who should have easily beaten Barrack Obama. (2/2)
Staff	2016-05-02 14:27:51	I will be campaigning in Indiana all day. Things are looking great, and the support of Bobby Knight has been so amazing. Today will be fun!
Staff	2016-07-01 13:24:14	.@TraceAdkins great job on FOX this morning. Keep up the good work!
Trump	2016-07-20 10:18:17	Congratulations to my children, Don and Tiffany, on having done a fantastic job last night. I am very proud of you!
Trump	2016-01-28 11:36:35	"""@gene70: @FireFlyFury @megynkelly @realDonaldTrump And this is the bimbo that's asking presidential questions? https://t.co/oU1uUGnuWb"""
Staff	2016-06-18 19:39:17	Thank you Las Vegas, Nevada! #Trump2016 #AmericaFirst  https://t.co/vhGwmhGCVR https://t.co/m1EIra7YMU
Trump	2016-02-27 03:08:53	"""@donnieboysmith: @realDonaldTrump in contrast to Rubio and Cruz you look like a giant. They look terribly weak"" Thank you!"
Staff	2016-07-13 22:23:40	On my way to San Diego to raise money for the Republican Party. I am spending a lot myself and also helping others.
Trump	2016-05-18 01:04:23	"Well, that is it. Well done Megyn --- and they all lived happily ever after! Now let us all see how ""THE MOVEMENT"" does in Oregon tonight!"
Trump	2016-02-03 05:12:23	Great job on @donlemon tonight @kayleighmcenany  @cherijacobus begged us for a job. We said no and she went hostile. A real dummy! @CNN
Trump	2016-01-23 13:29:33	I am in Iowa. Will be making two speeches today. Good luck to all of the great folks on the East coast. Enjoy the beauty of the storm!
Staff	2016-07-30 21:55:48	#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below. https://t.co/y9WJoUaaql
Staff	2016-05-02 21:56:36	Will be interviewed on @seanhannity tonight at 10pmE. Enjoy! #INPrimary
Staff	2016-02-03 19:25:08	The State of Iowa should disqualify Ted Cruz from the most recent election on the basis that he cheated- a total fraud!
Staff	2016-07-30 22:24:40	NATO commander agrees members should pay up via @dcexaminer: https://t.co/VZLDFy707K
Staff	2016-03-16 17:14:37	Thank you to the Governor of Florida, Rick Scott, for your endorsement. I greatly appreciate your support!
Staff	2016-02-09 15:20:59	You can find your polling locations at:  https://t.co/BmZyKQOZJJ #FITN #NHPrimary #VoteTrumpNH https://t.co/8lREIqhIuN
Staff	2016-04-15 21:52:38	Thank you, @NYPost! #Trump2016 https://t.co/KzGweIxaEo
Trump	2016-07-02 01:19:46	Just returned from Colorado. Amazing crowd!
Trump	2016-02-26 12:29:42	"""@donell27743094: @realDonaldTrump trump won the debate. Disgusting Rubio said ""peed"" - is he still in junior high school."""
Staff	2016-06-11 18:21:15	Sad case- @USATODAY did article saying I don't pay bills- false, only don't pay when work is shoddy, bad, or not done! They should do same!
Staff	2016-07-14 13:21:48	Great new poll- thank you America! #Trump2016 #ImWithYou https://t.co/aVH9c5QRwc
Trump	2016-06-02 17:06:29	Crooked Hillary Clinton, who I would love to call Lyin' Hillary, is getting ready to totally misrepresent my foreign policy positions.
Trump	2016-05-15 11:16:01	"""@TakingIt_Back:  @nytimes keep shining....the ppl will not let the media dim your light...we no longer believe them! #Trump2016"" Thanks."
Trump	2016-04-09 11:22:32	Bernie Sanders says that Hillary Clinton is unqualified to be president. Based on her decision making ability, I can go along with that!
Staff	2016-06-25 14:55:11	Arriving @TrumpScotland with @DonaldJTrumpJr &amp; @EricTrump. Back to New York tonight.  Video: https://t.co/2GUKqOTHS5
Staff	2016-08-02 10:24:03	The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow! https://t.co/FsrUGByuuD
Trump	2016-03-03 11:40:17	Why would the great people of Florida vote for a guy who, as a Senator, never even shows up to vote - worst record. Marco Rubio is a joke!
Staff	2016-03-11 22:40:31	It means so much to me- receiving an endorsement from Phyllis Schlafly. A truly great woman &amp; conservative. https://t.co/11rEMu99qc
Staff	2016-08-06 02:44:55	Thank you Green Bay, Wisconsin! Governor @Mike_Pence and I will be back soon. #TrumpPence16 #MAGA https://t.co/qsYbyrm3UR
Trump	2016-04-03 12:16:28	I will be on @FoxNewsSunday with Chris Wallace this morning. Enjoy!
Staff	2016-02-10 12:59:43	Worthless @NYDailyNews, which dopey Mort Zuckerman, is desperately trying to sell, has no buyer! Liabilities are massive!
Staff	2016-05-28 06:19:54	Great rally in Fresno, California- great crowd! Thank you! #Trump2016 https://t.co/TVSPvxOmve
Trump	2016-06-09 12:11:55	As expected, the media is very much against me. Their dishonesty is amazing but, just like our big wins in the primaries, we will win!
Trump	2016-04-19 23:50:09	"""@kdk144: @realDonaldTrump Everybody is ""In A New York State of Mind"" now!"""
Staff	2016-02-23 01:34:44	Great poll! Thank you North Carolina!  #VoteTrumpNC on 3/15! Trump 36% Cruz 18% Rubio 18% Carson 10% Kasich 7% Via @SurveyUSA
Staff	2016-07-21 17:00:24	Thank you @DonaldJTrumpJr. Proud of you! #RNCinCLE #TrumpPence2016 https://t.co/gobSNWughP
Trump	2016-05-18 03:46:26	"""@MagicMetalNinja:  The Trump movement will not be stopped. We support Trump because he is a true American looking out for #AmericaFIRST."""
Trump	2016-04-10 02:44:11	"""@vivhall3: @realDonaldTrump here your delegate replaced at CO GOP convention. https://t.co/NxYhzdcMS0"" Very sad!"
Trump	2016-06-24 21:34:48	The opening of Trump Turnberry in Scotland was a big success. Good timing, I was here for BREXIT. Very exciting news conference today!
Staff	2016-05-20 22:50:18	Thank you for your wonderful endorsement today @TGowdySC. It means a great deal to me. We will not disappoint! #Trump2016
Staff	2016-01-16 18:21:03	If Ted Cruz is so opposed to gay marriage, why did he accept money from people who espouse gay marriage?
Staff	2016-07-13 22:11:04	Lyin' Crooked Hillary's email stories all have one thing in common. https://t.co/teoVCYXKOR
Trump	2016-05-16 01:25:54	The @washingtonpost report on potential VP candidates is wrong. Marco Rubio and most others mentioned are NOT under consideration.
Trump	2016-02-09 22:19:31	We will stop heroin and other drugs from coming into New Hampshire from our open southern border. We will build a WALL and have security.
Trump	2016-04-24 01:41:57	I had a great day campaigning in Connecticut. Looking for a big vote on Tuesday!
Trump	2016-06-29 13:09:49	The @USCHAMBER must fight harder for the American worker. China, and many others, are taking advantage of U.S. with our terrible trade pacts
Staff	2016-03-02 23:34:04	Failed Presidential Candidate Mitt Romney is having a news conference tomorrow to criticize me. (1/2)
Staff	2016-04-01 22:36:39	MAKE AMERICA GREAT AGAIN!  https://t.co/SULeDE2PYp
Trump	2016-06-23 02:26:09	"""@1lion: brilliant 3 word response to Hillary's 'I'm With You'  slogan https://t.co/dJL71jwK0g @realDonaldTrump https://t.co/Audi8h85qu"""
Staff	2016-05-20 15:15:08	I am on my way! See you all soon! https://t.co/Arw19Antpj
Staff	2016-06-14 18:28:48	TONIGHT! NORTH CAROLINA: https://t.co/UolRS3aT6W  WEDNESDAY! GEORGIA: https://t.co/1JJ2Kn0ani  SATURDAY! NEVADA: https://t.co/x3w1PHtLXP
Staff	2016-05-31 22:51:56	I will be interviewed on @seanhannity tonight at 10pmE on @FoxNews. Enjoy!
Staff	2016-08-02 01:58:48	Just leaving Mechanicsburg, PA. Incredible crowd-- so enthusiastic! Will be back soon. #MAGA https://t.co/RbuXfDZ5w9
Trump	2016-06-28 19:24:26	"""@Patricia_Graf:  @GovBrewer @cvpayne let's get Trump supporters out in massive numbers and make America Great Again - create jobs"""
Trump	2016-03-17 10:17:00	Crazy @megynkelly supposedly had lyin' Ted Cruz on her show last night. Ted is desperate and his lying is getting worse. Ted can't win!
Trump	2016-05-15 19:11:30	Why did the failing @nytimes refuse to use any of the names given to them that I was so proud to have helped with their careers. DISHONEST!
Staff	2016-07-21 04:00:25	MAKE AMERICA GREAT AGAIN! https://t.co/qL9rjb7OsD
Staff	2016-07-27 17:16:56	Great new poll - thank you! #MakeAmericaGreatAgain https://t.co/mXovx0TLPC
Trump	2016-07-23 22:13:39	"""@NancyNielsenn: @realDonaldTrump Dinesh D'Sousa Hillary's America. see it"""
Staff	2016-04-21 22:16:27	Cruz said Kasich should leave because he couldn't get to 1237. Now he can't get to 1237. Drop out LYIN' Ted.
Trump	2016-05-25 05:47:45	"""@gordonsr1052:  Washington, BIG Thank You for supporting Trump! We are all going to help Trump Make America Great Again! Trump2016!"""
Staff	2016-05-03 11:23:58	MAKE AMERICA GREAT AGAIN! #INPrimary #VoteTrump https://t.co/nMqeKxccv6
Trump	2016-07-10 18:42:32	The media is so dishonest. If I make a statement, they twist it and turn it to make it sound bad or foolish.They think the public is stupid!
Trump	2016-03-02 18:18:37	Marco Rubio lost big last night. I even beat him in Virginia, where he spent so much time and money. Now his bosses are desperate and angry!
Trump	2016-07-26 03:19:38	Bernie Sanders totally sold out to Crooked Hillary Clinton. All of that work, energy and money, and nothing to show for it! Waste of time.
Staff	2016-06-18 20:08:18	MAKE AMERICA GREAT AGAIN! MAKE AMERICA SAFE AGAIN! #Trump2016 #AmericaFirst https://t.co/vN4K8FvQNT
Trump	2016-06-05 22:15:01	Hillary Clinton is unfit to be president. She has bad judgement, poor leadership skills and a very bad and destructive track record. Change!
Trump	2016-06-05 21:56:01	I am watching @CNN very little lately because they are so biased against me. Shows are predictable garbage! CNN and MSM is one big lie!
Staff	2016-03-09 01:14:50	Thank you! #Trump2016 https://t.co/WvTkL8mMHY
Staff	2016-07-12 17:01:51	Bernie Sanders endorsing Crooked Hillary Clinton is like Occupy Wall Street endorsing Goldman Sachs.
Staff	2016-04-11 22:49:25	Tune in &amp; join me live in Albany, New York! 7pmE start time! I love you New York! #Trump2016 #TrumpTrain  https://t.co/rY5zqUX9Wu
Trump	2016-03-08 23:58:02	Word is I am doing very well in Michigan and Mississippi! Wow, and with all that money spent against me! Will be going to Trump Jupiter now!
Trump	2016-03-11 05:12:02	"""@adriparsonss: @The_Trump_Train @realDonaldTrump #Donald Trump is your man America. He is the best!! Vote for him!"" Thank you!"
Staff	2016-07-30 18:07:07	Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!
Trump	2016-02-22 12:31:15	"""@EricTrump: Nevada we are on our way! #VoteTrumpNV #Trump2016 Caucus locator: https://t.co/aUSzSnOzlm https://t.co/bCRelzywxk"""
Staff	2016-05-22 22:54:48	Thank you America! #Trump2016 https://t.co/xfINxdRNiQ
Trump	2016-07-22 13:07:51	What a great four days in Cleveland. So proud of the great job done by the RNC and all. The police and Secret Service were fantastic!
Staff	2016-07-28 02:42:13	Our country does not feel 'great already' to the millions of wonderful people living in poverty, violence and despair.
Trump	2016-05-06 10:26:43	So many great endorsements yesterday, except for Paul Ryan! We must put America first and MAKE AMERICA GREAT AGAIN!
Staff	2016-03-31 20:27:40	THANK YOU, WISCONSIN! #VoteTrump  next Tuesday, April 5th! #WIPrimary https://t.co/4tymy651ZP https://t.co/IOBhOXeBiN
Trump	2016-07-24 12:15:51	Looks like the Bernie people will fight. If not, their BLOOD, SWEAT AND TEARS was a total waste of time. Kaine stands for opposite!
Trump	2016-03-02 18:48:33	"""@KinnardJan: @Itsjoeco @realDonaldTrump I took Trump University class and saved my home!"""
Staff	2016-08-01 18:44:04	When will we see stories from CNN on Clinton Foundation corruption and Hillary's pay-for-play at State Department?
Trump	2016-04-02 02:09:29	If @megynkelly stopped covering me on her show, her ratings would drop like a rock! My h to h interview with @AC360 beat her by millions!
Trump	2016-06-27 00:38:14	"""@brazosboys: Hillary read ""sigh"" off the Teleprompter, She's so fake she has to be told how to feel: https://t.co/ENXliW2m77 @FoxNews"
Trump	2016-02-26 07:33:59	"""@morg25016893:  @eventbrite Also, all the things Rubio&amp;Cruz were using for hits, just petty. Trump, clearly the only one w/all the skills."""
Staff	2016-02-10 13:00:20	Like the worthless @NYDailyNews, looks like @politico will be going out of business. Bad reporting- no money, no cred!
Staff	2016-07-20 23:49:18	Watching the #GOPConvention #AmericaFirst #RNCinCLE
Staff	2016-06-13 21:12:21	I thought people weren’t celebrating? They were cheering all over, even this savage from Orlando. I was right. https://t.co/DrVa65X9rI
Staff	2016-05-06 18:25:27	I hear @JoeNBC of rapidly fading @Morning_Joe is pushing hard for a third party candidate to run. This will guarantee a Crooked Hillary win.
Staff	2016-02-16 21:09:52	Thank you to the 2,500+ in North Augusta, South Carolina. Lines down the block! Don't forget to VOTE on Saturday! https://t.co/KayUN9rfIV
Trump	2016-04-01 04:23:25	The Club For Growth,which asked me for $1,000,000 in an extortion attempt, just put up a Wisconsin ad with incorrect math.What a dumb group!
Trump	2016-08-01 11:27:43	This story is not about Mr. Khan, who is all over the place doing interviews, but rather RADICAL ISLAMIC TERRORISM and the U.S. Get smart!
Trump	2016-08-07 13:49:29	I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!
Trump	2016-03-17 12:28:17	The reason lyin' Ted Cruz has lost so much of the evangelical vote is that they are very smart and just don't tolerate liars-a big problem!
Trump	2016-03-24 14:07:07	.@LindseyGrahamSC and Lyin' Ted Cruz are two politicians who are very much alike - ALL TALK AND NO ACTION! Both talk about ISIS, do nothing!
Trump	2016-02-17 03:44:39	Thank you  @kayleighmcenany for your nice words - great knowledge and style! We are doing really well in South Carolina. @CNN @donlemon
Staff	2016-03-02 23:18:54	.@CNN poll just hit 49% for Trump. Interesting how my numbers have gone so far up since lightweight Marco Rubio has turned nasty. Love it!
Trump	2016-05-15 11:00:18	"""@QueenCharlotteO: @realDonaldTrump @nytimes I'm a women &amp; I 100% support @realDonaldTrump &amp; I have since the beginning. Thank you!"
Staff	2016-03-03 15:51:29	Will miss @RealBenCarson tonight at the #GOPDebate. I hope all of Ben's followers will join the #TrumpTrain. We will never forget.
Trump	2016-06-09 01:00:03	"""@mabynshingleton: JohnKasich, the VOTERS have spoken.We want @realDonaldTrump. You AGREED to support NOMINEE. Get on board or leave @GOP"""
Staff	2016-07-12 02:12:19	#MakeAmericaGreatAgain #ImWithYou https://t.co/lb5ViCDH0g https://t.co/roVn7pAVfy
Staff	2016-04-12 22:15:28	I LOVE NEW YORK! #NewYorkValues  https://t.co/dbTDhYAX1v
Trump	2016-07-10 18:27:58	President Obama thinks the nation is not as divided as people think. He is living in a world of the make believe!
Trump	2016-06-01 13:17:58	So I raised/gave $5,600,000 for the veterans and the media makes me look bad! They do anything to belittle - totally biased.
Staff	2016-07-29 03:50:59	Our way of life is under threat by Radical Islam and Hillary Clinton cannot even bring herself to say the words.
Trump	2016-06-20 10:24:12	When I said that if, within the Orlando club, you had some people with guns, I was obviously talking about additional guards or employees
Staff	2016-03-16 01:33:57	Thank you, North Carolina! #Trump2016 #SuperTuesday   #MakeAmericaGreatAgain https://t.co/hd4wtDonIB
Staff	2016-05-03 15:31:51	Thank you America! #Trump2016  https://t.co/tiExz8YhFT https://t.co/Hkt3YNccb0
Trump	2016-03-16 05:35:00	"""@MaryEH428: @RealBenCarson I thank God you are on board with @realDonaldTrump to help him and us #MakeAmericaGreatAgain Ty!!"""
Staff	2016-07-28 00:01:31	Join me live in Toledo, Ohio! #MakeAmericaGreatAgain https://t.co/ruEvMGx4C9
Staff	2016-05-02 21:50:17	THANK YOU AMERICA! #MakeAmericaGreatAgain https://t.co/PvhGP2HmbN
Staff	2016-04-26 18:12:06	You have until 8pm to #VoteTrump, Delaware! https://t.co/GYeV6m1qOn
Staff	2016-06-10 13:13:42	Join me!  6/10: Richmond, VA - 8pm 6/11: Tampa, FL - 11am 6/11: Pittsburgh, PA - 3pm 6/13: Portsmouth, NH - 2:30pm https://t.co/kv624y9UOm
Trump	2016-06-15 13:44:14	The press is so totally biased that we have no choice but to take our tough but fair and smart message directly to the people!
Staff	2016-07-13 22:06:30	Is President Obama trying to destroy Israel with all his bad moves? Think about it and let me know!
Trump	2016-08-07 23:09:08	Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!
Trump	2016-07-17 13:04:10	.@FoxNews is much better, and far more truthful, than @CNN, which is all negative. Guests are stacked for Crooked Hillary! I don't watch.
Trump	2016-08-01 00:57:15	Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @nytimes is a joke. @CNN is laughable!
Staff	2016-07-02 13:45:16	#AmericaFirst #ImWithYou https://t.co/iEcnnlJ728
Trump	2016-06-20 01:22:16	.@DJohnsonPGA We are so proud of you Dustin. Your reaction under pressure was amazing. First of many Majors. You are a true CHAMPION!
Trump	2016-07-18 20:51:55	Networks other than low ratings @CNN have been very fair and exciting!
Staff	2016-01-08 22:03:35	I hope all workers demand that their @Teamsters reps endorse Donald J. Trump. Nobody knows jobs like I do! Don’t let them sell you out!
Trump	2016-05-18 00:45:13	"""@johnjohnlacca: Donald u have done a terrific job so far on the interview. Cannot wait until u r president #MegynKellyPresents"
Trump	2016-07-29 13:44:54	Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!
Staff	2016-07-29 17:53:47	What Bernie Sanders really thinks of Crooked Hillary Clinton. https://t.co/VgMaAsZBep
Staff	2016-08-05 02:18:18	President Obama should ask the DNC about how they rigged the election against Bernie.
Staff	2016-04-26 18:03:39	Six hours left to #VoteTrump Connecticut! https://t.co/U1kbLMwhNI
Staff	2016-05-21 17:02:41	Crooked Hillary Clintons foreign interventions unleashed ISIS in Syria, Iraq and Libya. She is reckless and dangerous!
Staff	2016-05-25 18:42:55	Thank you Washington! Honored to say, on behalf of our great movement, we have broken the all time record for votes in GOP primary history.
Staff	2016-07-20 17:02:19	STATEMENT ON MELANIA SPEECH https://t.co/uzBOm21Pug
Trump	2016-06-08 12:11:52	"""@jimhewitt: . @FrankCaliendo doing @realDonaldTrump on @MikeAndMike is awesome. ""Number one presidency of all time"""
Staff	2016-03-29 21:25:44	Thank you! #Trump2016 https://t.co/ZWZkHrtRQN
Staff	2016-04-25 21:54:55	Thank you Warwick, Rhode Island! #RIPrimary #VoteTrump  https://t.co/V0d4CuS1xf https://t.co/GU3p28VMe0
Staff	2016-05-25 23:18:54	Thank you Anaheim, California! #Trump2016 https://t.co/AEShamhNVS
Staff	2016-06-18 17:22:31	Join me in Phoenix, Arizona today at 4pm! #Trump2016 #AmericaFirst https://t.co/PVB6QX7VpK https://t.co/hSaIurAfvD
Trump	2016-03-17 13:11:31	.@WSJ is bad at math. The good news is, nobody cares what they say in their editorials anymore, especially me!
Trump	2016-03-24 15:52:11	Just announced that as many as 5000 ISIS fighters have infiltrated Europe. Also, many in U.S.  I TOLD YOU SO! I alone can fix this problem!
Staff	2016-02-14 17:27:48	Thank you for your support! TOGETHER we will MAKE AMERICA GREAT AGAIN!  https://t.co/fFN9pisyQ4 https://t.co/VxyuDwZmC9
Trump	2016-03-15 23:26:54	"""@BertShad: Was going to watch @Foxnews for the primary results but saw @megynkelly - looks like #CNN tonight"""
Staff	2016-05-07 00:16:31	Crooked Hillary Clinton wants completely open borders. Millions of Democrats will run from her over this and support me.
Staff	2016-02-26 16:15:06	Lying Ted Cruz and lightweight choker  Marco Rubio teamed up last night in a last ditch effort to stop our great movement. They failed!
Staff	2016-06-19 02:24:56	Donald Trump's Speech Is a Game Changer. #Trump2016 https://t.co/VXjtSivvuU https://t.co/dIK3IyrYGC
Trump	2016-07-02 11:48:18	"Just read in the failing @nytimes that I was not aware ""the event had to be held in Cleveland"" - a total lie. These people are sick!"
Staff	2016-01-01 05:18:23	#HappyNewYearAmerica! https://t.co/EeQb8PDrUe
Trump	2016-06-24 21:43:17	Many people are equating BREXIT, and what is going on in Great Britain, with what is happening in the U.S. People want their country back!
Staff	2016-02-23 01:29:26	WOW! Thank you Massachusetts! See you soon. #VoteTrumpMA https://t.co/mNbDUPrEeh
Trump	2016-06-10 15:10:22	The great boxing promoter, Don King, just endorsed me. Nice!
Trump	2016-03-16 10:30:14	Will be interviewed on @NewDay on @CNN at 7:15 A.M.
Staff	2016-03-09 23:00:30	Another Dishonest Politician  #LightweightSenatorMarcoRubio https://t.co/w7G5vJ511O
Trump	2016-02-22 14:42:50	I hear the Rickets family, who own the Chicago Cubs, are secretly spending $'s against me. They better be careful, they have a lot to hide!
Trump	2016-03-02 18:11:23	Why would anyone in Florida vote for lightweight Senator Marco Rubio. Check out his credit card scam, his house sale &amp; his no show voting!
Staff	2016-04-23 01:17:58	Thank you Pennsylvania! #Trump2016 https://t.co/Y3UBsxBQmg https://t.co/ie23QdsVTe
Trump	2016-05-16 10:00:52	Bernie Sanders is being treated very badly by the Dems. The system is rigged against him. He should run as an independent! Run Bernie, run.
Trump	2016-06-05 21:36:48	The Clinton News Network, sometimes referred to as @CNN, is getting more and more biased.They act so indignant-hear them behind closed doors
Staff	2016-03-16 00:05:34	Thank you, Florida! #SuperTuesday  #MakeAmericaGreatAgain #Trump2016 https://t.co/nzhnLQXrZg
Trump	2016-07-03 17:40:49	Just watched @meetthepress and how totally biased against me Chuck Todd, and the entire show, is against me.The good news-the people get it!
Staff	2016-06-08 03:21:44	Thank you New Jersey! #Trump2016 https://t.co/PgIYkHLGtI https://t.co/MyJMOKdpJ9
Trump	2016-04-30 17:21:35	The economy is bad and getting worse-almost ZERO growth this quarter. Nobody can beat me on the economy (and jobs). MAKE AMERICA GREAT AGAIN
